profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external url,private,#posts,#followers,#follows,fake
True,0.3,2,0.1,True,80,True,False,10,150,100,0
False,0.6,3,0.3,False,200,False,True,3,40,30,1
True,0.1,2,0.0,True,100,True,False,20,500,250,0
False,0.5,4,0.2,False,220,False,False,5,30,25,1
True,0.2,1,0.0,True,70,True,True,15,900,300,0
False,0.7,2,0.4,False,150,False,False,2,35,20,1
True,0.0,1,0.0,True,90,True,True,25,1000,500,0
False,0.6,3,0.3,False,210,False,False,1,25,15,1
True,0.2,2,0.1,True,95,True,False,12,450,200,0
False,0.5,3,0.3,False,230,False,True,0,20,10,1
